,movie,genres,averagerating,primary_name,death_year,primary_profession,director_rating,nummovies
3,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",7.4,Brad Bird,,"miscellaneous,writer,director",7.166666666666667,3.0
4,21 Jump Street,"Action,Comedy,Crime",7.2,Phil Lord,,"producer,writer,director",7.333333333333333,3.0
5,21 Jump Street,"Action,Comedy,Crime",7.2,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
20,My Week with Marilyn,"Biography,Drama",7.0,Simon Curtis,,"producer,director,actor",7.133333333333333,3.0
23,The Revenant,"Action,Adventure,Biography",8.0,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
40,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",8.1,David Yates,,"director,producer,writer",7.2,5.0
59,Lincoln,"Biography,Drama,History",7.4,Steven Spielberg,,"producer,writer,director",7.228571428571429,7.0
66,Anchorman 2: The Legend Continues,Comedy,6.3,Adam McKay,,"producer,writer,director",7.0,4.0
67,Incendies,"Drama,Mystery,War",8.3,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
78,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",7.5,Guy Ritchie,,"director,producer,writer",7.250000000000001,4.0
92,Blue Valentine,"Drama,Romance",7.4,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
103,Despicable Me,"Animation,Comedy,Family",7.7,Chris Renaud,,"producer,actor,director",7.0,4.0
105,Jack the Giant Slayer,"Adventure,Fantasy",6.3,Bryan Singer,,"producer,director,writer",7.325,4.0
111,Boy,"Comedy,Drama",7.5,Taika Waititi,,"actor,producer,director",7.75,4.0
126,Shame,Drama,7.2,Steve McQueen,,"director,writer,producer",7.433333333333334,3.0
141,Jack Reacher,"Action,Crime,Thriller",7.0,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,3.0
144,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",7.9,Peter Jackson,,"producer,director,writer",7.875,4.0
145,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",7.0,Marc Webb,,"producer,director,writer",7.066666666666666,3.0
157,Hell or High Water,"Action,Crime,Drama",7.6,David Mackenzie,,"director,producer,writer",7.275,4.0
170,Bajirao Mastani,"Action,Drama,History",7.2,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
174,Only the Brave,"Action,Biography,Drama",7.7,Joseph Kosinski,,"director,writer,producer",7.166666666666667,3.0
178,Shutter Island,"Mystery,Thriller",8.1,Martin Scorsese,,"producer,director,actor",7.75,4.0
198,This Must Be the Place,"Comedy,Drama",6.7,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
199,The Help,Drama,8.1,Tate Taylor,,"actor,producer,director",7.166666666666667,3.0
202,The Lego Movie,"Action,Adventure,Animation",7.8,Phil Lord,,"producer,writer,director",7.333333333333333,3.0
203,The Lego Movie,"Action,Adventure,Animation",7.8,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
224,They Shall Not Grow Old,"Documentary,History,War",8.4,Peter Jackson,,"producer,director,writer",7.875,4.0
247,Café de Flore,"Drama,Romance",7.4,Jean-Marc Vallée,,"producer,director,editor",7.375,4.0
260,The Fighter,"Biography,Drama,Sport",7.8,David O. Russell,,"producer,director,writer",7.324999999999999,4.0
293,Sonu Ke Titu Ki Sweety,"Comedy,Romance",7.1,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
317,Super 8,"Mystery,Sci-Fi,Thriller",7.0,J.J. Abrams,,"producer,writer,music_department",7.566666666666666,3.0
324,A Separation,"Drama,Thriller",8.3,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
325,The Highwaymen,"Biography,Crime,Drama",7.0,John Lee Hancock,,"writer,director,producer",7.233333333333333,3.0
326,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",8.0,Bryan Singer,,"producer,director,writer",7.325,4.0
329,Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",6.6,David Yates,,"director,producer,writer",7.2,5.0
351,The Ghost Writer,"Drama,Mystery,Thriller",7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
359,Enthiran,"Action,Sci-Fi",7.1,S. Shankar,,"writer,director,producer",7.15,4.0
379,Carnage,"Comedy,Drama",7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
383,Wild Bill,Drama,7.2,Dexter Fletcher,,"actor,director,writer",7.433333333333334,3.0
392,Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",6.2,J.A. Bayona,,"director,writer,actor",7.099999999999999,3.0
393,Isle of Dogs,"Adventure,Animation,Comedy",7.9,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
396,Phantom Thread,"Drama,Romance",7.5,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
397,John Wick: Chapter 3 - Parabellum,"Action,Crime,Thriller",8.0,Chad Stahelski,,"stunts,actor,assistant_director",7.633333333333333,3.0
398,Apostle,"Drama,Fantasy,Horror",6.3,Gareth Evans,,"director,writer,editor",7.0,4.0
403,Outlaw King,"Action,Biography,Drama",7.0,David Mackenzie,,"director,producer,writer",7.275,4.0
413,The Dark Knight Rises,"Action,Thriller",8.4,Christopher Nolan,,"writer,producer,director",8.425,4.0
419,The King's Speech,"Biography,Drama,History",8.0,Tom Hooper,,"director,producer,writer",7.566666666666666,3.0
423,127 Hours,"Adventure,Biography,Drama",7.6,Danny Boyle,,"director,producer,writer",7.225,4.0
431,Les Misérables,"Drama,History,Musical",7.6,Tom Hooper,,"director,producer,writer",7.566666666666666,3.0
438,Black Panther,"Action,Adventure,Sci-Fi",7.3,Ryan Coogler,,"director,writer,producer",7.466666666666666,3.0
445,The Founder,"Biography,Drama,History",7.2,John Lee Hancock,,"writer,director,producer",7.233333333333333,3.0
449,Kingsman: The Golden Circle,"Action,Adventure,Comedy",6.8,Matthew Vaughn,,"producer,writer,director",7.449999999999999,4.0
458,Last Flag Flying,"Comedy,Drama,War",6.9,Richard Linklater,,"producer,director,writer",7.3,5.0
471,Pyaar Ka Punchnama 2,"Comedy,Drama,Romance",7.3,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
512,Madras Cafe,"Action,Drama,Thriller",7.7,Shoojit Sircar,,"director,producer,actor",7.6499999999999995,4.0
516,The BFG,"Adventure,Family,Fantasy",6.4,Steven Spielberg,,"producer,writer,director",7.228571428571429,7.0
542,Rocketman,"Biography,Drama,Music",7.7,Dexter Fletcher,,"actor,director,writer",7.433333333333334,3.0
570,How to Train Your Dragon,"Action,Adventure,Animation",8.1,Dean DeBlois,,"writer,animation_department,director",7.833333333333333,3.0
