,movie,popularity,production_budget,domestic_gross,worldwide_gross,release_month,movie_id,primary_title,start_year,runtime_minutes,averagerating,numvotes,genre_list,genre_rating
0,How to Train Your Dragon,28.734,165000000,217581232,494870992,3,tt0892769,How to Train Your Dragon,2010,98.0,8.1,611299.0,Action,6.085581395348833
1,Iron Man 2,28.515,170000000,312433331,621156389,5,tt1228705,Iron Man 2,2010,124.0,7.0,657690.0,Action,6.085581395348833
2,Inception,27.92,160000000,292576195,835524642,7,tt1375666,Inception,2010,148.0,8.8,1841066.0,Action,6.085581395348833
3,Megamind,22.855,130000000,148415853,321887208,11,tt1001526,Megamind,2010,95.0,7.3,207488.0,Action,6.085581395348833
4,The Expendables,21.517,82000000,103068524,268268174,8,tt1320253,The Expendables,2010,103.0,6.5,307897.0,Action,6.085581395348833
5,The Book of Eli,18.985,80000000,94835059,158750817,1,tt1037705,The Book of Eli,2010,118.0,6.9,271307.0,Action,6.085581395348833
6,Knight and Day,17.713,117000000,76423035,258751370,6,tt1013743,Knight and Day,2010,109.0,6.3,169840.0,Action,6.085581395348833
7,The A-Team,17.097,110000000,77222099,177241171,6,tt0429493,The A-Team,2010,117.0,6.8,235256.0,Action,6.085581395348833
8,The Last Airbender,16.595,150000000,131772187,319713881,7,tt0938283,The Last Airbender,2010,103.0,4.1,137734.0,Action,6.085581395348833
9,Predators,16.215999999999998,40000000,52000688,127234389,7,tt1424381,Predators,2010,107.0,6.4,199764.0,Action,6.085581395348833
10,Clash of the Titans,15.574000000000002,125000000,163214888,493214888,4,tt0800320,Clash of the Titans,2010,106.0,5.8,256176.0,Action,6.085581395348833
11,Clash of the Titans,15.574000000000002,15000000,30000000,44400000,4,tt0800320,Clash of the Titans,2010,106.0,5.8,256176.0,Action,6.085581395348833
12,Robin Hood,15.444,210000000,105487148,322459006,5,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Action,6.085581395348833
14,Robin Hood,15.444,210000000,105487148,322459006,5,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Action,6.085581395348833
15,Robin Hood,15.444,99000000,30824628,84747441,5,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Action,6.085581395348833
17,Robin Hood,15.444,99000000,30824628,84747441,5,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Action,6.085581395348833
18,Robin Hood,39.975,210000000,105487148,322459006,11,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Action,6.085581395348833
20,Robin Hood,39.975,210000000,105487148,322459006,11,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Action,6.085581395348833
21,Robin Hood,39.975,99000000,30824628,84747441,11,tt0955308,Robin Hood,2010,140.0,6.6,239480.0,Action,6.085581395348833
23,Robin Hood,39.975,99000000,30824628,84747441,11,tt4532826,Robin Hood,2018,116.0,5.3,41588.0,Action,6.085581395348833
24,The Sorcerer's Apprentice,14.463,160000000,63150991,217986320,7,tt0963966,The Sorcerer's Apprentice,2010,109.0,6.1,143862.0,Action,6.085581395348833
25,Faster,14.172,24000000,23240020,35792945,11,tt1433108,Faster,2010,98.0,6.5,93618.0,Action,6.085581395348833
26,Unstoppable,14.01,95000000,81562942,165720921,11,tt0477080,Unstoppable,2010,98.0,6.8,173019.0,Action,6.085581395348833
27,Unstoppable,0.6,95000000,81562942,165720921,9,tt0477080,Unstoppable,2010,98.0,6.8,173019.0,Action,6.085581395348833
28,Centurion,13.548,15000000,123570,7885048,2,tt1020558,Centurion,2010,97.0,6.4,74085.0,Action,6.085581395348833
29,The Other Guys,13.508,100000000,119219978,170936470,8,tt1386588,The Other Guys,2010,107.0,6.7,221664.0,Action,6.085581395348833
30,Jonah Hex,13.467,47000000,10547117,11022696,6,tt1075747,Jonah Hex,2010,81.0,4.7,51860.0,Action,6.085581395348833
31,Kick-Ass,13.08,28000000,48071303,97531134,4,tt1250777,Kick-Ass,2010,117.0,7.6,497363.0,Action,6.085581395348833
32,Salt,13.025,130000000,118311368,290650494,7,tt0944835,Salt,2010,100.0,6.4,277204.0,Action,6.085581395348833
33,Salt,0.632,130000000,118311368,290650494,8,tt0944835,Salt,2010,100.0,6.4,277204.0,Action,6.085581395348833
34,Machete,12.557,12500000,26593646,46370970,9,tt0985694,Machete,2010,105.0,6.6,182320.0,Action,6.085581395348833
35,Repo Men,12.437000000000001,32000000,13942007,18195238,3,tt1053424,Repo Men,2010,111.0,6.3,96144.0,Action,6.085581395348833
36,The Karate Kid,12.255999999999998,40000000,176591618,351774938,6,tt1155076,The Karate Kid,2010,140.0,6.2,146401.0,Action,6.085581395348833
37,The Karate Kid,12.255999999999998,8000000,90815558,90815558,6,tt1155076,The Karate Kid,2010,140.0,6.2,146401.0,Action,6.085581395348833
38,Legion,12.032,26000000,40168080,67647574,1,tt1038686,Legion,2010,100.0,5.2,92709.0,Action,6.085581395348833
39,Green Zone,11.519,100000000,35497337,97523020,3,tt0947810,Green Zone,2010,115.0,6.8,122132.0,Action,6.085581395348833
40,The Next Three Days,11.147,30000000,21148651,67255916,11,tt1458175,The Next Three Days,2010,133.0,7.4,168066.0,Action,6.085581395348833
41,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,100000000,55675313,139716717,9,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,7.0,73790.0,Action,6.085581395348833
42,The Spy Next Door,10.745999999999999,28000000,24307106,46752858,1,tt1273678,The Spy Next Door,2010,94.0,5.5,36767.0,Action,6.085581395348833
43,Jackass 3D,10.715,20000000,117229692,171685793,10,tt1116184,Jackass 3D,2010,95.0,7.0,53289.0,Action,6.085581395348833
44,Cats & Dogs: The Revenge of Kitty Galore,10.544,85000000,43585753,113026383,7,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,4.3,12642.0,Action,6.085581395348833
45,The Tourist,10.307,100000000,67631157,278731369,12,tt1243957,The Tourist,2010,103.0,6.0,206714.0,Action,6.085581395348833
46,Killers,10.221,75000000,47059963,95572749,6,tt1103153,Killers,2010,100.0,5.4,82237.0,Action,6.085581395348833
48,The Losers,10.202,25000000,23591432,29863840,4,tt0480255,The Losers,2010,97.0,6.4,83876.0,Action,6.085581395348833
49,The Bounty Hunter,9.861,45000000,67061228,135808837,3,tt1038919,The Bounty Hunter,2010,110.0,5.6,112444.0,Action,6.085581395348833
50,Wild Target,9.355,8000000,109338,5314194,10,tt1235189,Wild Target,2010,98.0,6.8,33915.0,Action,6.085581395348833
51,Takers,8.969,32000000,57744720,70587268,8,tt1135084,Takers,2010,107.0,6.2,53377.0,Action,6.085581395348833
52,Skyline,8.847000000000001,10000000,21416355,68264973,11,tt1564585,Skyline,2010,92.0,4.4,83710.0,Action,6.085581395348833
53,Cop Out,8.82,37000000,44875481,55909910,2,tt1385867,Cop Out,2010,107.0,5.6,81656.0,Action,6.085581395348833
54,The Warrior's Way,8.259,42000000,5666340,8514325,12,tt1032751,The Warrior's Way,2010,100.0,6.3,24271.0,Action,6.085581395348833
55,MacGruber,7.666,10000000,8525600,8629895,5,tt1470023,MacGruber,2010,90.0,5.5,39782.0,Action,6.085581395348833
57,Kites,6.058,9200000,1685269,17155193,5,tt1198101,Kites,2010,123.0,6.1,11353.0,Action,6.085581395348833
63,Contagion,2.178,60000000,75658097,137551594,3,tt1598778,Contagion,2011,106.0,6.6,201536.0,Action,6.085581395348833
64,Contagion,10.444,60000000,75658097,137551594,9,tt1598778,Contagion,2011,106.0,6.6,201536.0,Action,6.085581395348833
65,Pixels,2.1719999999999997,90000000,78765986,244041804,4,tt2120120,Pixels,2015,105.0,5.6,119789.0,Action,6.085581395348833
66,Pixels,23.029,90000000,78765986,244041804,7,tt2120120,Pixels,2015,105.0,5.6,119789.0,Action,6.085581395348833
67,Logan,0.9640000000000001,127000000,226277068,615461394,9,tt3315342,Logan,2017,137.0,8.1,560270.0,Action,6.085581395348833
68,Logan,45.0,127000000,226277068,615461394,3,tt3315342,Logan,2017,137.0,8.1,560270.0,Action,6.085581395348833
71,Resident Evil: Afterlife,0.667,57500000,60128566,295874190,9,tt1220634,Resident Evil: Afterlife,2010,96.0,5.9,153270.0,Action,6.085581395348833
76,Heist,0.6,35000000,23483357,28906817,2,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
78,Heist,0.6,8900000,50136,3324131,2,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
80,Heist,7.553999999999999,35000000,23483357,28906817,11,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
82,Heist,7.553999999999999,8900000,50136,3324131,11,tt3276924,Heist,2015,93.0,6.1,24740.0,Action,6.085581395348833
86,Thor,38.068000000000005,150000000,181030624,449326618,5,tt0800369,Thor,2011,115.0,7.0,683264.0,Action,6.085581395348833
87,Pirates of the Caribbean: On Stranger Tides,30.579,410600000,241063875,1045663875,5,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,136.0,6.6,447624.0,Action,6.085581395348833
88,Captain America: The First Avenger,25.808000000000003,140000000,176654505,370569776,7,tt0458339,Captain America: The First Avenger,2011,124.0,6.9,668137.0,Action,6.085581395348833
89,Rise of the Planet of the Apes,22.995,93000000,176760185,470986200,8,tt1318514,Rise of the Planet of the Apes,2011,105.0,7.6,473020.0,Action,6.085581395348833
90,In Time,18.912,35000000,37553932,165103952,10,tt1637688,In Time,2011,109.0,6.7,346077.0,Action,6.085581395348833
91,Ghost Rider: Spirit of Vengeance,18.678,57000000,51774002,149217355,12,tt1071875,Ghost Rider: Spirit of Vengeance,2011,96.0,4.3,103608.0,Action,6.085581395348833
92,Sherlock Holmes: A Game of Shadows,18.301,125000000,186848418,535663443,12,tt1515091,Sherlock Holmes: A Game of Shadows,2011,129.0,7.5,394189.0,Action,6.085581395348833
93,Abduction,17.69,35000000,28087155,86648359,9,tt1600195,Abduction,2011,106.0,5.1,72552.0,Action,6.085581395348833
96,Kung Fu Panda 2,17.363,150000000,165249063,664837547,5,tt1302011,Kung Fu Panda 2,2011,90.0,7.2,228465.0,Action,6.085581395348833
97,Green Lantern,17.257,200000000,116601172,219535492,6,tt1133985,Green Lantern,2011,114.0,5.5,252281.0,Action,6.085581395348833
98,Conan the Barbarian,17.046,90000000,21295021,63356133,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Action,6.085581395348833
99,Conan the Barbarian,17.046,20000000,38264085,79114085,8,tt0816462,Conan the Barbarian,2011,113.0,5.2,90834.0,Action,6.085581395348833
100,"Big Mommas: Like Father, Like Son",16.024,32000000,37915414,82332450,2,tt1464174,"Big Mommas: Like Father, Like Son",2011,107.0,4.4,23520.0,Action,6.085581395348833
101,Johnny English Reborn,15.542,45000000,8406711,164640401,10,tt1634122,Johnny English Reborn,2011,101.0,6.3,110824.0,Action,6.085581395348833
102,Priest,15.318,60000000,29136626,84154026,5,tt0822847,Priest,2011,87.0,5.7,108320.0,Action,6.085581395348833
103,Killer Elite,15.135,70000000,25124986,65409046,9,tt1448755,Killer Elite,2011,116.0,6.5,117711.0,Action,6.085581395348833
104,Real Steel,14.811,110000000,85463309,263880341,10,tt0433035,Real Steel,2011,127.0,7.1,283534.0,Action,6.085581395348833
105,Immortals,14.774000000000001,75000000,83504017,211562435,11,tt1253864,Immortals,2011,110.0,6.0,152992.0,Action,6.085581395348833
106,The Green Hornet,14.501,110000000,98780042,229155503,1,tt0990407,The Green Hornet,2011,119.0,5.8,148622.0,Action,6.085581395348833
107,Sucker Punch,14.415999999999999,75000000,36392502,89758389,3,tt0978764,Sucker Punch,2011,110.0,6.1,218371.0,Action,6.085581395348833
108,The Mechanic,14.387,42500000,29121498,76347393,1,tt0472399,The Mechanic,2011,93.0,6.6,141254.0,Action,6.085581395348833
109,Drive Angry,14.095999999999998,50000000,10721033,41042583,2,tt1502404,Drive Angry,2011,104.0,5.4,90203.0,Action,6.085581395348833
