,primary_title,genres,averagerating,primary_name,death_year,primary_profession,writer_rating,nummovies
5,Moneyball,"Biography,Drama,Sport",7.6,Aaron Sorkin,,"writer,producer,actor",7.5,4.0
15,21 Jump Street,"Action,Comedy,Crime",7.2,Jonah Hill,,"actor,producer,writer",7.4,5.0
58,The Revenant,"Action,Adventure,Biography",8.0,Alejandro G. Iñárritu,,"producer,director,writer",7.733333333333333,3.0
168,Anchorman 2: The Legend Continues,Comedy,6.3,Adam McKay,,"producer,writer,director",7.0,7.0
176,Never Let Me Go,"Drama,Romance,Sci-Fi",7.1,Alex Garland,,"writer,producer,director",7.300000000000001,4.0
204,"Crazy, Stupid, Love.","Comedy,Drama,Romance",7.4,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
213,Danny Collins,"Biography,Comedy,Drama",7.0,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
218,Blue Valentine,"Drama,Romance",7.4,Derek Cianfrance,,"director,writer,cinematographer",7.3,3.0
226,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,Damien Chazelle,,"producer,writer,director",7.966666666666666,5.0
252,Jack the Giant Slayer,"Adventure,Fantasy",6.3,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
271,Boy,"Comedy,Drama",7.5,Taika Waititi,,"actor,producer,director",7.75,3.0
334,Jack Reacher,"Action,Crime,Thriller",7.0,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
344,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",7.9,Peter Jackson,,"producer,director,writer",7.875,4.0
372,Hell or High Water,"Action,Crime,Drama",7.6,Taylor Sheridan,,"actor,writer,director",7.7,4.0
398,Bajirao Mastani,"Action,Drama,History",7.2,Sanjay Leela Bhansali,,"producer,director,writer",7.025,4.0
414,42,"Biography,Drama,Sport",7.5,Brian Helgeland,,"writer,director,producer",7.25,4.0
468,This Must Be the Place,"Comedy,Drama",6.7,Paolo Sorrentino,,"writer,director,actor",7.266666666666667,3.0
478,The Lego Movie,"Action,Adventure,Animation",7.8,Phil Lord,,"producer,writer,director",7.333333333333333,4.0
479,The Lego Movie,"Action,Adventure,Animation",7.8,Christopher Miller,,"producer,writer,director",7.333333333333333,3.0
499,Unbroken,"Biography,Drama,Sport",7.2,Ethan Coen,,"producer,writer,director",7.175,8.0
500,Unbroken,"Biography,Drama,Sport",7.2,Joel Coen,,"producer,writer,director",7.175,8.0
697,Sonu Ke Titu Ki Sweety,"Comedy,Romance",7.1,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
761,A Separation,"Drama,Thriller",8.3,Asghar Farhadi,,"writer,director,producer",7.7250000000000005,4.0
765,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",8.0,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
803,Creed II,"Drama,Sport",7.2,Ryan Coogler,,"director,writer,producer",7.466666666666666,4.0
825,The Ghost Writer,"Drama,Mystery,Thriller",7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
845,Enthiran,"Action,Sci-Fi",7.1,S. Shankar,,"writer,director,producer",7.15,4.0
856,Dredd,"Action,Crime,Sci-Fi",7.1,Alex Garland,,"writer,producer,director",7.300000000000001,4.0
895,Carnage,"Comedy,Drama",7.2,Roman Polanski,,"actor,director,writer",7.2,3.0
906,From Up on Poppy Hill,"Animation,Drama,Family",7.5,Hayao Miyazaki,,"animation_department,director,writer",7.8,3.0
930,Isle of Dogs,"Adventure,Animation,Comedy",7.9,Wes Anderson,,"writer,director,producer",7.933333333333334,3.0
936,Phantom Thread,"Drama,Romance",7.5,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
941,Apostle,"Drama,Fantasy,Horror",6.3,Gareth Evans,,"director,writer,editor",7.0,4.0
979,The Dark Knight Rises,"Action,Thriller",8.4,Christopher Nolan,,"writer,producer,director",8.425,5.0
999,Mortal Engines,"Action,Adventure,Fantasy",6.1,Peter Jackson,,"producer,director,writer",7.875,4.0
1037,Black Panther,"Action,Adventure,Sci-Fi",7.3,Ryan Coogler,,"director,writer,producer",7.466666666666666,4.0
1058,Kingsman: The Golden Circle,"Action,Adventure,Comedy",6.8,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
1083,Last Flag Flying,"Comedy,Drama,War",6.9,Richard Linklater,,"producer,director,writer",7.3,5.0
1091,Tangled,"Adventure,Animation,Comedy",7.8,Dan Fogelman,,"writer,producer,miscellaneous",7.0,6.0
1114,Molly's Game,"Biography,Crime,Drama",7.5,Aaron Sorkin,,"writer,producer,actor",7.5,4.0
1116,Pyaar Ka Punchnama 2,"Comedy,Drama,Romance",7.3,Luv Ranjan,,"writer,director,producer",7.366666666666666,3.0
1269,Diary of a Wimpy Kid: Dog Days,"Comedy,Family",6.3,Maya Forbes,,"producer,writer,miscellaneous",7.0,3.0
1308,Legend,"Biography,Crime,Drama",7.0,Brian Helgeland,,"writer,director,producer",7.25,4.0
1334,How to Train Your Dragon,"Action,Adventure,Animation",8.1,Dean DeBlois,,"writer,animation_department,director",7.833333333333333,3.0
1342,In the House,"Drama,Mystery,Thriller",7.4,François Ozon,,"director,writer,editor",7.233333333333333,3.0
1348,The Wind Rises,"Animation,Biography,Drama",7.8,Hayao Miyazaki,,"animation_department,director,writer",7.8,3.0
1365,St. Vincent,"Comedy,Drama",7.3,Theodore Melfi,,"producer,director,writer",7.55,3.0
1369,Lootera,"Drama,Romance",7.3,Anurag Kashyap,,"producer,writer,director",7.866666666666667,7.0
1388,Short Term 12,Drama,8.0,Destin Daniel Cretton,,"director,producer,writer",7.6,3.0
